id,Property Type
0,House
1,Apartment
2,Bed & Breakfast
3,Townhouse
4,Condominium
5,Cabin
6,Other
7,Villa
8,Boat
9,Timeshare
10,Loft
11,Hostel
12,Boutique hotel
13,Bungalow
14,Dorm
15,Camper/RV
16,Serviced apartment
17,Guesthouse
18,Castle
19,Treehouse
20,Chalet
21,Guest suite
22,Earth House
23,Tent
24,Lighthouse
25,Entire Floor
26,Vacation home
27,In-law
28,Yurt
29,Nature lodge
30,Tipi
31,Cave
32,Hut
