id,Neighbourhood Cleansed
1313,North Beach/Blue Ridge
1314,Phinney Ridge
1315,Hurstville
1316,Bankstown
1317,Campbelltown
1318,Josefstadt
1319,Wieden
1320,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir"
1321,"Ivy City, Arboretum, Trinidad, Carver Langston"
1322,"Georgetown, Burleith/Hillandale"
1323,"Union Station, Stanton Park, Kingman Park"
1324,"Kalorama Heights, Adams Morgan, Lanier Heights"
1325,"Howard University, Le Droit Park, Cardozo/Shaw"
1326,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point"
1327,Whring
1328,"Edgewood, Bloomingdale, Truxton Circle, Eckington"
1329,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View"
1330,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont"
1331,"Brookland, Brentwood, Langdon"
1332,"Woodridge, Fort Lincoln, Gateway"
1333,"Cathedral Heights, McLean Gardens, Glover Park"
1334,"Congress Heights, Bellevue, Washington Highlands"
1335,"Near Southeast, Navy Yard"
1336,"River Terrace, Benning, Greenway, Dupont Park"
1337,Woodbine-Lumsden
1338,West Hill
1339,Eglinton East
1340,Bathurst Manor
1341,Olympic Hills
1342,Bitter Lake
1343,Portage Bay
1344,Sorrento Valley
1345,Tierrasanta
1346,Torrey Pines
1347,Gatewood
1348,Rainier Beach
1349,Mount Baker
1350,North Delridge
1351,Marghera Catene
1352,"Friendship Heights, American University Park, Tenleytown"
1353,"Takoma, Brightwood, Manor Park"
1354,"North Michigan Park, Michigan Park, University Heights"
1355,"Douglas, Shipley Terrace"
1356,Madison Park
1357,Broadview
1358,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park"
1359,Greater Dandenong
1360,Historic South-Central
1361,Chorlton
1362,Rusholme
1363,Aravaca
1364,Cármenes
1365,San Pascual
1366,Palomas
1367,Rejas
1368,Panorama City
1369,Signal Hill
1370,Veterans Administration
1371,Dorval
1372,Pointe-Claire
1373,LaSalle
1374,Marroquina
1375,Banyalbufar
1376,Lloret de Vistalegre
1377,Ardwick
1378,Cerritos
1379,Compton
1380,Del Aire
1381,Lynwood
1382,Pacoima
1383,South Tabor
1384,Hillsdale
1385,Mt. Scott-Arleta
1386,Reed
1387,Centennial
1388,Notre-Dame-des-Laurentides
1389,Quartier 4-5
1390,Jésuites
1391,Quartier 5-1
1392,Rose City Park
1393,Eliot
1394,Bridgeton
1395,Portsmouth
1396,Cathedral Park
1397,Portland Downtown
1398,Southwest Hills
1399,Southwest
1400,Bay Ho
1401,el Congrés i els Indians
1402,Schönholz/Wilhelmsruh/Rosenthal
1403,Weißensee Ost
1404,"Vallvidrera, el Tibidabo i les Planes"
1405,Johannisthal
1406,West 1
1407,Markgrave
1408,Dam
1409,Athmar Park
1410,Bellevue
1411,Grand-Saconnex
1412,Corstorphine
1413,Tsuen Wan
1414,Collonge-Bellerive
1415,Hampden
1416,Washington Virginia Vale
1417,La Mirada
1418,Old Aurora
1419,Búger
1420,Llubí
1421,Buenavista
1422,Portazgo
1423,Fontarrón
1424,La Paz
1425,Piovera
1426,Fallowfield
1427,Chorlton Park
1428,Harbor City
1429,Bel-Air
1430,Bellflower
1431,West Carson
1432,Binissalem
1433,Estellencs
1434,Casco Histórico de Barajas
1435,Knox
1436,Whittlesea
1437,ΠΡΟΜΠΟΝΑ
1438,Ostpreußendamm
1439,Groenenhoek
1440,Deurne Zuid West
1441,Wilhelmstadt
1442,Gatow / Kladow
1443,Castaic Canyons
1444,Consell
1445,Palomeras Sureste
1446,Vinateros
1447,Marratxí
1448,St.  Anthony
1449,District 10
1450,Norwalk
1451,Sylmar
1452,Stevenson Ranch
1453,Brimbank
1454,Nillumbik
1455,La Crescenta-Montrose
1456,Longsight
1457,District 14
1458,District 28
1459,Black Pearl
1460,Schmöckwitz/Karolinenhof/Rauchfangswerder
1461,Zona Commerciale via Torino
1462,Alberoni
1463,Montlake
1464,Haller Lake
1465,Carmel Valley
1466,Memorial
1467,Bird Land
1468,Brentwood-Darlington
1469,Chutes-Montmorency
1470,Vieux-Moulin
1471,Loretteville
1472,Duberger-Les Saules
1473,Homestead
1474,Banbury-Don Mills
1475,Clairlea-Birchmount
1476,Lakeshore
1477,Old East York
1478,Hillcrest Village
1479,Mount Dennis
1480,Playter Estates-Danforth
1481,Penrith
1482,"Sheridan, Barry Farm, Buena Vista"
1483,Blackhall
1484,Northfield and Piershill
1485,Rosedale
1486,Cory - Merrill
1487,Stapleton
1488,Rivière-des-Prairies-Pointe-aux-Trembles
1489,District 2
1490,Washington Heights
1491,Friedrichshagen
1492,Dammvorstadt
1493,Borgerhout Extra Muros
1494,la Font d'en Fargues
1495,Kaulsdorf
1496,Karow
1497,Spandau Mitte
1498,Lankwitz
1499,North College Park
1500,Northwest
1501,Hayhurst
1502,Pointe-de-Sainte-Foy
1503,Hilltop
1504,Cypress Park
1505,"Craigleith, Orchard Brae and Crewe Toll"
1506,Meyrin
1507,Sunland
1508,Nord 2
1509,Marzahn-Süd
1510,Timón
1511,Yuen Long
1512,Withington
1513,Levenshulme
1514,Casco Histórico de Vicálvaro
1515,Entrevías
1516,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
1517,West 2
1518,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
1519,MV 1
1520,East Craigs North
1521,Versoix
1522,North
1523,Colinton and Kingsknowe
1524,Duarte
1525,Greater Grand Crossing
1526,Belmont Cragin
1527,Bonaly and The Pentlands
1528,Tuen Mun
1529,Civic Center
1530,Cologny
1531,Los Angeles
1532,Stenhouse and Saughton Mains
1533,Colinton Mains and Firrhill
1534,Clinton Hill
1535,Cobble Hill
1536,Crown Heights
1537,East Harlem
1538,Elmhurst
1539,East New York
1540,Downtown Brooklyn
1541,East Elmhurst
1542,East Flatbush
1543,Chelsea
1544,Columbia St
1545,Concourse
1546,Concourse Village
1547,Coney Island
1548,Corona
1549,DUMBO
1550,Fort Greene
1551,Fort Hamilton
1552,Fresh Meadows
1553,Gramercy
1554,Gravesend
1555,Greenpoint
1556,Greenwich Village
1557,Upper West Side
1558,Upper East Side
1559,Palais-Bourbon
1560,Buttes-Chaumont
1561,Woodhaven
1562,West Village
1563,Williamsburg
1564,Ditmars Steinway
1565,Arverne
1566,Bedford-Stuyvesant
1567,Bushwick
1568,Borough Park
1569,Prospect-Lefferts Gardens
1570,Astoria
1571,Battery Park City
1572,Bay Ridge
1573,Bensonhurst
1574,Boerum Hill
1575,Carroll Gardens
1576,Lancy
1577,Flushing
1578,Gowanus
1579,Forest Hills
1580,Flatbush
1581,Flatiron District
1582,Flatlands
1583,Harlem
1584,Hell's Kitchen
1585,Far Rockaway
1586,Highbridge
1587,Inwood
1588,Stuyvesant Town
1589,Sunset Park
1590,Kips Bay
1591,Murray Hill
1592,Long Island City
1593,Lower East Side
1594,Jackson Heights
1595,Jamaica
1596,Morningside Heights
1597,NoHo
1598,Nolita
1599,Park Slope
1600,Midwood
1601,Maspeth
1602,Prospect Heights
1603,Rego Park
1604,Richmond Hill
1605,Ridgewood
1606,Roosevelt Island
1607,SoHo
1608,Theater District
1609,Sheepshead Bay
1610,South Slope
1611,Parkchester
1612,Queens Village
1613,Port Morris
1614,Tribeca
1615,Two Bridges
1616,Vinegar Hill
1617,University Heights
1618,Windsor Terrace
1619,Wakefield
1620,Oakland Ave-Harrison St
1621,Oakmore
1622,Piedmont Avenue
1623,Prescott
1624,Produce And Waterfront
1625,Ralph Bunche
1626,Reservoir Hill-Meadow Brook
1627,Rockridge
1628,Sequoyah
1629,Shafter
1630,Batignolles-Monceau
1631,BALLINA SHIRE COUNCIL
1632,LISMORE CITY COUNCIL
1633,BYRON SHIRE COUNCIL
1634,Adams Point
1635,Bushrod
1636,Fairview Park
1637,Shepherd Canyon
1638,Temescal
1639,TWEED SHIRE COUNCIL
1640,Glenview
1641,Golden Gate
1642,Lakewide
1643,Longfellow
1644,Maxwell Park
1645,Mosswood
1646,Millsmont
1647,Ambroz
1648,Kingsbridge
1649,Longwood
1650,Woodside
1651,Williamsbridge
1652,CLARENCE VALLEY COUNCIL
1653,Wong Tai Sin
1654,Englewood
1655,Mattapan
1656,Oak Park
1657,Kearny Mesa
1658,Rolando
1659,Talmadge
1660,North City
1661,City Heights East
1662,South Burlingame
1663,Southeast Magnolia
1664,Powellhurst-Gilbert
1665,Northwest Heights
1666,Paradise Hills
1667,Hazelwood
1668,Victoria Village
1669,Malvern
1670,Quartier 5-2
1671,Mount Hope
1672,Forest Hill North
1673,Clason Point
1674,Lake Merritt
1675,San Pablo Gateway
1676,Clawson
1677,Eastmont Hills
1678,Redwood Heights
1679,Upper Laurel
1680,Upper Rockridge
1681,Cypress Hills
1682,Allerton
1683,Mott Haven
1684,Brooklyn Heights
1685,Brownsville
1686,Briarwood
1687,Canarsie
1688,Dyker Heights
1689,Navy Yard
1690,Norwood
1691,St. Albans
1692,St. George
1693,Red Hook
1694,Rockaway Beach
1695,Springfield Gardens
1696,Louvre
1697,Observatoire
1698,Brighton Beach
1699,Tompkinsville
1700,South Ozone Park
1701,Clinton
1702,Crocker Highland
1703,Hoover-Foster
1704,Ivy Hill
1705,Merriwood
1706,Oak Center
1707,Old City-Produce And Waterfront
1708,Paradise Park
1709,Piedmont Pines
1710,Santa Fe
1711,Trestle Glen
1712,Dunlap
1713,Morris Heights
1714,Kew Gardens Hills
1715,Caballo Hills
1716,Cleveland Heights
1717,Gaskill
1718,Bath Beach
1719,Kwai Tsing
1720,Pelmo Park-Humberlea
1721,Kew Gardens
1722,Grand Lake
1723,McClymonds
1724,Pill Hill
1725,Jamaica Estates
1726,Fieldston
1727,Clifton
1728,Ozone Park
1729,Marble Hill
1730,Middle Village
1731,Randall Manor
1732,Fordham
1733,Arrochar
1734,Fuller Park
1735,Lynn-Highland Park
1736,Eastchester
1737,Golf Links
